Valor do sinal,Temperatura,Umidade,Hora,Dia
-0.115234375,_°C,_%,22:44:22,2024-08-28
-0.181640625,_°C,_%,22:44:37,2024-08-28
0.0859375,_°C,_%,22:44:52,2024-08-28
0.1015625,_°C,_%,22:45:07,2024-08-28
-0.1640625,_°C,_%,22:45:22,2024-08-28
-0.171875,_°C,_%,22:45:37,2024-08-28
0.111328125,_°C,_%,22:45:52,2024-08-28
0.095703125,_°C,_%,22:46:07,2024-08-28
-0.193359375,_°C,_%,22:46:22,2024-08-28
-0.1328125,_°C,_%,22:46:37,2024-08-28
0.111328125,_°C,_%,22:46:52,2024-08-28
0.072265625,_°C,_%,22:47:07,2024-08-28
-0.197265625,_°C,_%,22:47:22,2024-08-28
-0.078125,_°C,_%,22:47:37,2024-08-28
0.115234375,_°C,_%,22:47:52,2024-08-28
0.017578125,_°C,_%,22:48:07,2024-08-28
-0.19140625,_°C,_%,22:48:22,2024-08-28
-0.01953125,_°C,_%,22:48:37,2024-08-28
0.111328125,_°C,_%,22:48:52,2024-08-28
-0.04296875,_°C,_%,22:49:07,2024-08-28
-0.189453125,_°C,_%,22:49:22,2024-08-28
0.0390625,_°C,_%,22:49:37,2024-08-28
0.109375,_°C,_%,22:49:52,2024-08-28
-0.103515625,_°C,_%,22:50:07,2024-08-28
-0.1875,_°C,_%,22:50:22,2024-08-28
0.08203125,_°C,_%,22:50:37,2024-08-28
0.111328125,_°C,_%,22:50:52,2024-08-28
-0.15234375,_°C,_%,22:51:07,2024-08-28
-0.173828125,_°C,_%,22:51:22,2024-08-28
0.107421875,_°C,_%,22:51:37,2024-08-28
0.09765625,_°C,_%,22:51:52,2024-08-28
-0.18359375,_°C,_%,22:52:07,2024-08-28
-0.134765625,_°C,_%,22:52:22,2024-08-28
0.1171875,_°C,_%,22:52:37,2024-08-28
0.07421875,_°C,_%,22:52:52,2024-08-28
-0.1953125,_°C,_%,22:53:07,2024-08-28
