Valor do sinal,Temperatura,Umidade,Hora
-0.265625,24.8°C,60%,18:54:20
-0.208984375,24.8°C,60%,18:54:36
0.05078125,24.8°C,60%,18:54:52
-0.0703125,24.8°C,60%,18:55:08
-0.25390625,24.8°C,60%,18:55:24
-0.109375,24.8°C,60%,18:55:40
0.046875,24.8°C,60%,18:55:56
-0.091796875,24.8°C,60%,18:56:12
-0.248046875,24.8°C,60%,18:56:29
-0.029296875,24.8°C,60%,18:56:45
0.068359375,24.8°C,60%,18:57:01
-0.154296875,24.8°C,60%,18:57:17
-0.21875,24.8°C,60%,18:57:33
0.033203125,24.8°C,60%,18:57:49
0.083984375,24.8°C,60%,18:58:05
-0.19921875,24.8°C,60%,18:58:22
-0.21875,24.8°C,60%,18:58:38
0.087890625,24.8°C,60%,18:58:54
0.091796875,24.8°C,60%,18:59:10
-0.205078125,24.8°C,60%,18:59:27
-0.1953125,24.8°C,60%,18:59:43
0.09375,24.8°C,60%,18:59:59
0.0859375,24.8°C,60%,19:00:16
-0.19921875,24.8°C,60%,19:00:32
-0.126953125,24.8°C,60%,19:00:48
0.111328125,24.8°C,60%,19:01:04
0.046875,24.8°C,60%,19:01:20
-0.197265625,24.8°C,60%,19:01:36
-0.056640625,24.8°C,60%,19:01:52
0.11328125,24.8°C,60%,19:02:08
-0.001953125,24.8°C,60%,19:02:25
-0.189453125,24.8°C,60%,19:02:41
-0.203125,24.8°C,60%,19:02:57
-0.142578125,24.8°C,60%,19:03:13
0.091796875,24.8°C,60%,19:03:29
0.029296875,24.8°C,60%,19:03:45
-0.21875,24.8°C,60%,19:04:01
-0.080078125,24.8°C,60%,19:04:17
0.087890625,24.8°C,60%,19:04:33
-0.041015625,24.8°C,60%,19:04:49
-0.212890625,24.8°C,60%,19:05:05
-0.029296875,24.8°C,60%,19:05:21
0.087890625,24.8°C,60%,19:05:37
-0.119140625,24.8°C,60%,19:05:53
-0.2109375,24.8°C,60%,19:06:09
0.029296875,24.8°C,60%,19:06:26
0.08203125,24.8°C,60%,19:06:42
-0.173828125,24.8°C,60%,19:06:58
-0.078125,24.8°C,60%,19:07:14
0.07421875,24.8°C,60%,19:07:30
-0.1171875,24.8°C,60%,19:07:46
-0.240234375,24.8°C,60%,19:08:02
0.0,24.8°C,60%,19:08:19
0.05859375,24.8°C,60%,19:08:35
-0.171875,24.8°C,60%,19:08:51
-0.248046875,24.8°C,60%,19:09:07
0.044921875,24.8°C,60%,19:09:23
0.064453125,24.8°C,60%,19:09:39
-0.236328125,24.8°C,60%,19:09:55
-0.228515625,24.8°C,60%,19:10:11
0.0546875,24.8°C,60%,19:10:27
0.064453125,24.8°C,60%,19:10:44
-0.251953125,25.0°C,65%,19:11:00
-0.216796875,25.0°C,65%,19:11:16
-0.24609375,25.0°C,65%,19:11:32
-0.193359375,25.0°C,65%,19:11:48
0.048828125,25.0°C,65%,19:12:04
-0.0078125,25.0°C,65%,19:12:20
-0.2578125,25.0°C,65%,19:12:36
-0.13671875,25.0°C,65%,19:12:52
0.056640625,25.0°C,65%,19:13:08
-0.087890625,25.0°C,65%,19:13:24
-0.240234375,25.0°C,65%,19:13:40
-0.08984375,25.0°C,65%,19:13:57
0.06640625,25.0°C,65%,19:14:13
-0.15625,25.0°C,65%,19:14:29
-0.2421875,25.0°C,65%,19:14:45
-0.01171875,25.0°C,65%,19:15:01
0.052734375,25.0°C,65%,19:15:17
-0.197265625,25.0°C,65%,19:15:33
-0.0859375,25.0°C,65%,19:15:50
0.0703125,25.0°C,65%,19:16:06
-0.1171875,25.0°C,65%,19:16:22
-0.240234375,25.0°C,65%,19:16:38
-0.00390625,25.0°C,65%,19:16:54
0.060546875,25.0°C,65%,19:17:10
-0.16796875,25.0°C,65%,19:17:26
-0.240234375,25.0°C,65%,19:17:42
0.046875,25.0°C,65%,19:17:59
0.0703125,25.0°C,65%,19:18:15
-0.228515625,25.0°C,65%,19:18:31
-0.22265625,25.0°C,65%,19:18:47
0.060546875,25.0°C,65%,19:19:03
0.0703125,25.0°C,65%,19:19:19
-0.244140625,25.0°C,65%,19:19:35
-0.212890625,25.0°C,65%,19:19:52
0.068359375,25.0°C,65%,19:20:08
0.021484375,25.0°C,65%,19:20:24
-0.2265625,25.0°C,65%,19:20:40
-0.166015625,25.0°C,65%,19:20:56
0.07421875,25.0°C,65%,19:21:12
-0.046875,25.0°C,65%,19:21:28
-0.234375,25.0°C,65%,19:21:45
-0.091796875,25.0°C,65%,19:22:01
0.05859375,25.0°C,65%,19:22:17
-0.091796875,25.0°C,65%,19:22:33
-0.248046875,25.0°C,65%,19:22:49
-0.021484375,25.0°C,65%,19:23:05
0.0625,25.0°C,65%,19:23:22
-0.166015625,25.0°C,65%,19:23:38
-0.228515625,25.0°C,65%,19:23:54
0.021484375,25.0°C,65%,19:24:10
-0.083984375,25.0°C,65%,19:24:26
-0.244140625,25.0°C,65%,19:24:42
-0.04296875,25.0°C,65%,19:24:58
0.06640625,25.0°C,65%,19:25:14
