Valor do sinal,Temperatura,Umidade,Hora,Dia
-0.19140625,_°C,_%,22:31:40,2024-09-08
-0.16015625,_°C,_%,22:31:55,2024-09-08
0.10546875,_°C,_%,22:32:10,2024-09-08
0.08203125,_°C,_%,22:32:25,2024-09-08
-0.197265625,_°C,_%,22:32:40,2024-09-08
-0.115234375,_°C,_%,22:32:55,2024-09-08
0.109375,_°C,_%,22:33:10,2024-09-08
0.04296875,_°C,_%,22:33:25,2024-09-08
-0.19140625,_°C,_%,22:33:40,2024-09-08
-0.037109375,_°C,_%,22:33:55,2024-09-08
0.12109375,_°C,_%,22:34:10,2024-09-08
-0.01953125,_°C,_%,22:34:25,2024-09-08
-0.19921875,_°C,_%,22:34:40,2024-09-08
0.013671875,_°C,_%,22:34:55,2024-09-08
0.099609375,_°C,_%,22:35:10,2024-09-08
-0.115234375,_°C,_%,22:35:25,2024-09-08
-0.21484375,_°C,_%,22:35:40,2024-09-08
-0.212890625,_°C,_%,22:35:55,2024-09-08
0.076171875,_°C,_%,22:36:10,2024-09-08
0.080078125,_°C,_%,22:36:25,2024-09-08
-0.23046875,_°C,_%,22:36:40,2024-09-08
-0.208984375,_°C,_%,22:36:55,2024-09-08
0.078125,_°C,_%,22:37:10,2024-09-08
0.037109375,_°C,_%,22:37:25,2024-09-08
-0.216796875,_°C,_%,22:37:40,2024-09-08
-0.162109375,_°C,_%,22:37:55,2024-09-08
0.076171875,_°C,_%,22:38:10,2024-09-08
-0.017578125,_°C,_%,22:38:25,2024-09-08
-0.23828125,_°C,_%,22:38:40,2024-09-08
-0.087890625,_°C,_%,22:38:55,2024-09-08
0.0703125,_°C,_%,22:39:10,2024-09-08
-0.0703125,_°C,_%,22:39:25,2024-09-08
0.07421875,_°C,_%,22:39:40,2024-09-08
-0.240234375,_°C,_%,22:39:55,2024-09-08
-0.205078125,_°C,_%,22:40:10,2024-09-08
0.0703125,_°C,_%,22:40:25,2024-09-08
0.02734375,_°C,_%,22:40:40,2024-09-08
-0.220703125,_°C,_%,22:40:55,2024-09-08
-0.1640625,_°C,_%,22:41:10,2024-09-08
0.078125,_°C,_%,22:41:25,2024-09-08
-0.029296875,_°C,_%,22:41:40,2024-09-08
-0.234375,_°C,_%,22:41:55,2024-09-08
-0.0859375,_°C,_%,22:42:10,2024-09-08
0.0625,_°C,_%,22:42:25,2024-09-08
-0.07421875,_°C,_%,22:42:40,2024-09-08
-0.240234375,_°C,_%,22:42:55,2024-09-08
-0.029296875,_°C,_%,22:43:10,2024-09-08
0.0703125,_°C,_%,22:43:25,2024-09-08
-0.068359375,_°C,_%,22:43:40,2024-09-08
-0.23046875,_°C,_%,22:43:55,2024-09-08
-0.08984375,_°C,_%,22:44:10,2024-09-08
0.06640625,_°C,_%,22:44:25,2024-09-08
-0.099609375,_°C,_%,22:44:40,2024-09-08
-0.2421875,_°C,_%,22:44:55,2024-09-08
-0.01171875,_°C,_%,22:45:10,2024-09-08
0.0703125,_°C,_%,22:45:25,2024-09-08
-0.162109375,_°C,_%,22:45:40,2024-09-08
-0.228515625,_°C,_%,22:45:55,2024-09-08
0.03125,_°C,_%,22:46:10,2024-09-08
0.078125,_°C,_%,22:46:25,2024-09-08
-0.22265625,_°C,_%,22:46:40,2024-09-08
-0.2265625,_°C,_%,22:46:55,2024-09-08
0.064453125,_°C,_%,22:47:10,2024-09-08
0.064453125,_°C,_%,22:47:25,2024-09-08
-0.23046875,_°C,_%,22:47:40,2024-09-08
0.0078125,_°C,_%,22:47:55,2024-09-08
0.06640625,_°C,_%,22:48:10,2024-09-08
-0.166015625,_°C,_%,22:48:25,2024-09-08
-0.240234375,_°C,_%,22:48:40,2024-09-08
0.0546875,_°C,_%,22:48:55,2024-09-08
0.076171875,_°C,_%,22:49:10,2024-09-08
-0.220703125,_°C,_%,22:49:25,2024-09-08
-0.216796875,_°C,_%,22:49:40,2024-09-08
0.06640625,_°C,_%,22:49:55,2024-09-08
0.07421875,_°C,_%,22:50:10,2024-09-08
-0.234375,_°C,_%,22:50:25,2024-09-08
-0.2109375,_°C,_%,22:50:40,2024-09-08
0.07421875,_°C,_%,22:50:55,2024-09-08
0.03125,_°C,_%,22:51:10,2024-09-08
-0.220703125,_°C,_%,22:51:25,2024-09-08
-0.1640625,_°C,_%,22:51:40,2024-09-08
0.07421875,_°C,_%,22:51:55,2024-09-08
-0.015625,_°C,_%,22:52:10,2024-09-08
-0.234375,_°C,_%,22:52:25,2024-09-08
-0.0859375,_°C,_%,22:52:40,2024-09-08
0.068359375,_°C,_%,22:52:55,2024-09-08
-0.068359375,_°C,_%,22:53:10,2024-09-08
-0.228515625,_°C,_%,22:53:25,2024-09-08
-0.044921875,_°C,_%,22:53:40,2024-09-08
0.078125,_°C,_%,22:53:55,2024-09-08
-0.142578125,_°C,_%,22:54:10,2024-09-08
-0.220703125,_°C,_%,22:54:25,2024-09-08
0.013671875,_°C,_%,22:54:40,2024-09-08
0.0703125,_°C,_%,22:54:55,2024-09-08
-0.18359375,_°C,_%,22:55:10,2024-09-08
-0.240234375,_°C,_%,22:55:25,2024-09-08
0.068359375,_°C,_%,22:55:40,2024-09-08
0.06640625,_°C,_%,22:55:55,2024-09-08
-0.224609375,_°C,_%,22:56:10,2024-09-08
-0.224609375,_°C,_%,22:56:25,2024-09-08
0.06640625,_°C,_%,22:56:40,2024-09-08
0.068359375,_°C,_%,22:56:55,2024-09-08
-0.24609375,_°C,_%,22:57:10,2024-09-08
-0.1953125,_°C,_%,22:57:25,2024-09-08
0.06640625,_°C,_%,22:57:40,2024-09-08
0.021484375,_°C,_%,22:57:55,2024-09-08
-0.22265625,_°C,_%,22:58:10,2024-09-08
-0.15625,_°C,_%,22:58:25,2024-09-08
0.078125,_°C,_%,22:58:40,2024-09-08
-0.044921875,_°C,_%,22:58:55,2024-09-08
-0.232421875,_°C,_%,22:59:10,2024-09-08
-0.0859375,_°C,_%,22:59:25,2024-09-08
0.046875,_°C,_%,22:59:40,2024-09-08
-0.244140625,_°C,_%,22:59:55,2024-09-08
-0.19140625,_°C,_%,23:00:10,2024-09-08
0.05859375,_°C,_%,23:00:25,2024-09-08
0.0078125,_°C,_%,23:00:40,2024-09-08
-0.2421875,_°C,_%,23:00:55,2024-09-08
-0.142578125,_°C,_%,23:01:10,2024-09-08
0.0703125,_°C,_%,23:01:25,2024-09-08
-0.0703125,_°C,_%,23:01:40,2024-09-08
-0.23046875,_°C,_%,23:01:55,2024-09-08
-0.087890625,_°C,_%,23:02:10,2024-09-08
0.06640625,_°C,_%,23:02:25,2024-09-08
-0.109375,_°C,_%,23:02:40,2024-09-08
-0.24609375,_°C,_%,23:02:55,2024-09-08
-0.009765625,_°C,_%,23:03:10,2024-09-08
0.0625,_°C,_%,23:03:25,2024-09-08
-0.24609375,_°C,_%,23:03:40,2024-09-08
-0.115234375,_°C,_%,23:03:55,2024-09-08
0.06640625,_°C,_%,23:04:10,2024-09-08
-0.068359375,_°C,_%,23:04:25,2024-09-08
-0.22265625,_°C,_%,23:04:40,2024-09-08
-0.07421875,_°C,_%,23:04:55,2024-09-08
0.078125,_°C,_%,23:05:10,2024-09-08
-0.126953125,_°C,_%,23:05:25,2024-09-08
-0.236328125,_°C,_%,23:05:40,2024-09-08
0.001953125,_°C,_%,23:05:55,2024-09-08
0.0625,_°C,_%,23:06:10,2024-09-08
-0.16796875,_°C,_%,23:06:25,2024-09-08
-0.240234375,_°C,_%,23:06:40,2024-09-08
0.046875,_°C,_%,23:06:55,2024-09-08
0.072265625,_°C,_%,23:07:10,2024-09-08
-0.2265625,_°C,_%,23:07:25,2024-09-08
-0.22265625,_°C,_%,23:07:40,2024-09-08
0.06640625,_°C,_%,23:07:55,2024-09-08
0.072265625,_°C,_%,23:08:10,2024-09-08
-0.236328125,_°C,_%,23:08:25,2024-09-08
-0.21875,_°C,_%,23:08:40,2024-09-08
0.07421875,_°C,_%,23:08:55,2024-09-08
0.03515625,_°C,_%,23:09:10,2024-09-08
-0.224609375,_°C,_%,23:09:25,2024-09-08
-0.173828125,_°C,_%,23:09:40,2024-09-08
0.068359375,_°C,_%,23:09:55,2024-09-08
-0.01171875,_°C,_%,23:10:10,2024-09-08
-0.2421875,_°C,_%,23:10:25,2024-09-08
-0.1015625,_°C,_%,23:10:40,2024-09-08
0.064453125,_°C,_%,23:10:55,2024-09-08
-0.072265625,_°C,_%,23:11:10,2024-09-08
-0.23046875,_°C,_%,23:11:25,2024-09-08
0.068359375,_°C,_%,23:11:40,2024-09-08
-0.1953125,_°C,_%,23:11:55,2024-09-08
-0.244140625,_°C,_%,23:12:10,2024-09-08
0.05859375,_°C,_%,23:12:25,2024-09-08
0.060546875,_°C,_%,23:12:40,2024-09-08
-0.2265625,_°C,_%,23:12:55,2024-09-08
-0.23046875,_°C,_%,23:13:10,2024-09-08
0.064453125,_°C,_%,23:13:25,2024-09-08
0.064453125,_°C,_%,23:13:40,2024-09-08
-0.244140625,_°C,_%,23:13:55,2024-09-08
-0.193359375,_°C,_%,23:14:10,2024-09-08
0.064453125,_°C,_%,23:14:25,2024-09-08
0.01953125,_°C,_%,23:14:40,2024-09-08
-0.2265625,_°C,_%,23:14:55,2024-09-08
-0.162109375,_°C,_%,23:15:10,2024-09-08
0.076171875,_°C,_%,23:15:25,2024-09-08
-0.046875,_°C,_%,23:15:40,2024-09-08
-0.232421875,_°C,_%,23:15:55,2024-09-08
-0.0859375,_°C,_%,23:16:10,2024-09-08
0.0625,_°C,_%,23:16:25,2024-09-08
